Filename,ID,Series name,MeanF,Max of F,Min of F,FRange,StdDevF,Duration(T),Sum of Abrupt(>0.025),Sum of Abrupt(>0.05),Sum of Abrupt(>0.1),Cofm,CofFV,PosMax,PosMin
151108-001_CG1_A4.,CG1.A1,A4.,0.392807195,0.416749353,0.309084741,0.023942158,0.028385198,5.799723054,0,0,0,0.529979144,7.226241781,5.780697322,0
151108-001_CG1_B3.,CG1.A1,B3.,0.403331544,0.433151384,0.240532664,0.02981984,0.036050974,6.383488659,1,0,0,0.778121378,8.938297553,0.53816047,0
151108-001_CG1_B4.,CG1.A1,B4.,0.35222332,0.39151546,0.256093565,0.03929214,0.030391418,6.852408437,0,0,0,1.081954278,8.628451547,0.762881563,0
151105-001_CG2_1,CG2.A1,1,0.319041311,0.396668634,0.194604912,0.077627323,0.034167232,7.95969405,2,0,0,0.93995598,10.70934423,0,0.993123772
151105-001_CG2_10,CG2.A1,10,0.325272028,0.415745484,0.245136327,0.090473457,0.020457642,7.418165225,1,1,0,0.766877321,6.289394658,0,1
151105-001_CG2_11.,CG2.A1,11,0.318438045,0.331982977,0.243748463,0.013544932,0.018353507,6.443392462,0,0,0,0.538153783,5.763603734,0.351297405,1
151105-001_CG2_12.,CG2.A1,12,0.304732462,0.335347496,0.250533576,0.030615034,0.026169992,8.786488794,0,0,0,1.316133127,8.587858279,1.731182796,1
151105-001_CG2_2.,CG2.A1,2,0.295719756,0.351328962,0.223393122,0.055609206,0.027722705,9.424324837,2,0,0,1.403447152,9.374654438,0,1
151105-001_CG2_3,CG2.A1,3,0.295289379,0.330300717,0.252496213,0.035011338,0.02125054,9.23256674,0,0,0,1.262664265,7.196513407,0.086316822,0.500245218
151105-001_CG2_5.,CG2.A1,5,0.331126924,0.351749527,0.300020045,0.020622603,0.015269458,8.623885038,0,0,0,0.585351249,4.611361028,0.550611247,0.412713936
151105-001_CG2_6.,CG2.A1,6,0.320287075,0.33997371,0.296234961,0.019686635,0.011579804,7.706496588,0,0,0,0.422708525,3.615445409,0.693716214,0
151105-001_CG2_7.,CG2.A1,7,0.336097864,0.358478565,0.260066381,0.022380701,0.023064936,6.112226417,0,0,0,0.594375461,6.862565601,3.309563518,0.010848689
151107-001_CG2_A1,CG2.A1,A1,0.317607672,0.396257766,0.276243307,0.078650094,0.014206057,8.101251478,1,0,0,0.669305708,4.472831679,0,1
151107-001_CG2_A10,CG2.A1,A10,0.349961019,0.374460031,0.307590213,0.024499012,0.01876436,6.249057942,0,0,0,0.714656415,5.361842933,0.35106383,0.095744681
151107-001_CG2_A11.,CG2.A1,A11.,0.337495697,0.372357206,0.281094625,0.034861509,0.028188629,6.312995041,0,0,0,0.770548336,8.352292775,5.902959728,0.03202329
151107-001_CG2_A12,CG2.A1,A12,0.349459909,0.381609634,0.281935755,0.032149725,0.027568542,5.872143508,0,0,0,0.745699144,7.88889981,6.396475771,0.021536955
151107-001_CG2_A2,CG2.A1,A2,0.316626025,0.328555852,0.292933186,0.011929827,0.010202454,7.869722522,0,0,0,0.357257592,3.222241239,0.57037037,0.058201058
151107-001_CG2_A3,CG2.A1,A3,0.298206109,0.337856311,0.281322835,0.039650203,0.008338257,5.940177425,0,0,0,0.503706989,2.796139019,0,1.525363667
151107-001_CG2_A4,CG2.A1,A4,0.319977335,0.351072896,0.299609137,0.031095561,0.00669317,6.095362616,0,0,0,0.336767733,2.091763891,0,1
151107-001_CG2_A5.,CG2.A1,A5.,0.327019715,0.33997371,0.287823663,0.012953995,0.014620838,7.024576213,0,0,0,0.438825468,4.470934646,17.64965653,0.010794897
151107-001_CG2_A6.,CG2.A1,A6.,0.343555223,0.374460031,0.278991801,0.030904808,0.023550311,6.7213432,0,0,0,0.496901681,6.854883579,0.442808051,0
151107-001_CG2_A7.,CG2.A1,A7.,0.350745093,0.37698342,0.307590213,0.026238328,0.021981969,7.006091995,0,0,0,0.481558518,6.267220679,1.5599022,0.376528117
151107-001_CG2_A9.,CG2.A1,A9.,0.343575356,0.358478565,0.315160381,0.014903209,0.011788659,7.038484012,0,0,0,0.452779236,3.43117136,3.697207251,0.99167075
151108-000_CG2_A1.,CG2.A1,A1.,0.312045937,0.350908397,0.278150671,0.03886246,0.012418471,10.2536758,0,0,0,0.967723609,3.979693372,0,1.969156627
