"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"820","Boulgom","Nunursus boulgum","le_mans","9",37,"2",2,7.31,6.91,3.53,2.04,3.12,3.05,2.96,0.7,0.62,0.95,14.07,4.34,6.02,3.68,4.43,5,3,5,5,5,"0","1",NA,1
"821","Gigi","Nunursus gigantus","besancon","7",11,"1",3,18.19,18.45,16.69,4.97,9.61,5.77,4.15,3.59,2.34,1.42,53.1,18.99,22.25,22.16,25.04,4,4,6,5,5,"0","4",1,0.75
"822","nounours","Nunursus lupilus","le_mans","9",9,"1",0,14.68,16.34,14.5,4.14,6.57,7.71,3.47,4.48,2.84,1.06,35,13.57,15.05,14.59,17.56,5,4,7,5,5,"1","2",1,1
"823","doudours","Nunursus jaunus","besancon","4",19,"1",4,20.05,20.73,18.32,5.69,7.58,11.58,5.47,4.26,3.87,1.38,45.43,17.2,21.07,16.02,17.47,4,2,4,4,1,"0","2",0.5,NA
"824","Charly","Nunursus charlynurs","besancon","8",6,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,"0","2",NA,0.375
"825","Teddy","Nunursus teddinus ours blancus","le_mans","8",10,"1",0,13.84,13.93,10.72,3.63,4.68,7.24,3.61,2.88,2.37,1.2,26.37,13.68,14.98,12.01,13.44,5,4,5,4,4,"-1","2",0.75,0.75
"826","Fufu","Nunursus poilus","besancon","10",5,"2",1,21.47,29.14,28.14,7.12,10.96,12.08,6.83,1.5,1.76,1.63,51.41,20.95,25.45,20.78,18.31,3,2,4,4,5,"1","1",0.875,0.75
"827","Teddy","Nunursus sabarlus","besancon","7",10,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,5,1,"0","2",NA,0.75
"829","ours blanc","Nunursus ours blancus","besancon","7",33,"2",1,8.97,11.54,8.9,4.14,5.91,4.3,1.76,0.69,2.37,0.16,25.01,9.16,10.79,6.49,7.11,4,3,7,5,2,"1","3",0.875,NA
"830","Baba","Nunursus babinus","besancon","2",8,"1",0,9.69,11.66,6.38,3.06,8.31,8.47,5.48,2.9,3.04,0.48,27.36,9.1,11.31,13.39,18.13,5,2,3,5,3,"0","2",0.5625,1
"832","vieil ours","Nunursus vieilursus","le_mans","8",70,"2",0,10.42,12.54,5.19,2.26,4.52,5.02,2.51,0.92,0.7,1.27,30.23,10.75,12.21,13.78,18.85,2,1,3,4,2,"-1","2",NA,0.625
"834","Angelo","Nunursus angelus","besancon","12",9,"1",1,13.75,15.59,14.67,4.61,6.61,7.53,2.38,3.91,2.5,1.64,29.86,12.25,14.12,8.69,10.33,4,3,5,5,1,"1","1",0.375,NA
