"Day","Activity","obs","age","subj_id"
2,233,50,10,"14323"
2,41,51,10,"14323"
2,159,52,10,"14323"
2,102,53,10,"14323"
2,97,54,10,"14323"
2,218,55,10,"14323"
2,143,56,10,"14323"
2,302,57,10,"14323"
2,394,58,10,"14323"
2,0,59,10,"14323"
2,317,60,10,"14323"
2,82,61,10,"14323"
2,353,62,10,"14323"
2,333,63,10,"14323"
2,353,64,10,"14323"
2,36,65,10,"14323"
2,0,66,10,"14323"
2,384,67,10,"14323"
2,202,68,10,"14323"
2,256,69,10,"14323"
2,133,70,10,"14323"
2,20,71,10,"14323"
2,154,72,10,"14323"
2,233,73,10,"14323"
2,0,74,10,"14323"
2,279,75,10,"14323"
2,310,76,10,"14323"
2,41,77,10,"14323"
2,218,78,10,"14323"
2,287,79,10,"14323"
2,248,80,10,"14323"
2,374,81,10,"14323"
2,333,82,10,"14323"
2,187,83,10,"14323"
2,486,84,10,"14323"
2,248,85,10,"14323"
1,0,1,7,"17103"
1,0,2,7,"17103"
1,0,3,7,"17103"
1,0,4,7,"17103"
1,0,5,7,"17103"
1,0,6,7,"17103"
1,0,7,7,"17103"
1,0,8,7,"17103"
1,0,9,7,"17103"
1,0,10,7,"17103"
1,0,11,7,"17103"
1,0,12,7,"17103"
1,0,13,7,"17103"
1,0,14,7,"17103"
1,0,15,7,"17103"
1,0,16,7,"17103"
1,0,17,7,"17103"
1,0,18,7,"17103"
1,0,19,7,"17103"
1,0,20,7,"17103"
1,0,21,7,"17103"
1,0,22,7,"17103"
1,0,23,7,"17103"
1,0,24,7,"17103"
1,0,25,7,"17103"
1,0,26,7,"17103"
1,0,27,7,"17103"
1,0,28,7,"17103"
1,0,29,7,"17103"
1,0,30,7,"17103"
1,0,31,7,"17103"
1,0,32,7,"17103"
1,0,33,7,"17103"
1,0,34,7,"17103"
1,0,35,7,"17103"
1,0,36,7,"17103"
1,0,37,7,"17103"
1,0,38,7,"17103"
1,0,39,7,"17103"
1,0,40,7,"17103"
1,0,41,7,"17103"
1,0,42,7,"17103"
1,0,43,7,"17103"
1,0,44,7,"17103"
1,0,45,7,"17103"
1,0,46,7,"17103"
1,0,47,7,"17103"
1,0,48,7,"17103"
1,0,49,7,"17103"
1,0,50,7,"17103"
1,0,51,7,"17103"
1,0,52,7,"17103"
1,0,53,7,"17103"
1,0,54,7,"17103"
1,0,55,7,"17103"
1,0,56,7,"17103"
1,0,57,7,"17103"
1,0,58,7,"17103"
1,0,59,7,"17103"
1,0,60,7,"17103"
1,0,61,7,"17103"
1,0,62,7,"17103"
1,0,63,7,"17103"
1,0,64,7,"17103"
1,0,65,7,"17103"
1,0,66,7,"17103"
1,0,67,7,"17103"
1,0,68,7,"17103"
1,0,69,7,"17103"
1,0,70,7,"17103"
1,0,71,7,"17103"
1,0,72,7,"17103"
1,0,73,7,"17103"
1,0,74,7,"17103"
1,0,75,7,"17103"
1,0,76,7,"17103"
1,0,77,7,"17103"
1,0,78,7,"17103"
1,0,79,7,"17103"
1,0,80,7,"17103"
1,0,81,7,"17103"
1,0,82,7,"17103"
1,0,83,7,"17103"
1,0,84,7,"17103"
1,0,85,7,"17103"
1,0,86,7,"17103"
1,0,87,7,"17103"
1,0,88,7,"17103"
1,0,89,7,"17103"
1,0,90,7,"17103"
1,0,91,7,"17103"
1,0,92,7,"17103"
1,0,93,7,"17103"
1,0,94,7,"17103"
1,0,95,7,"17103"
1,0,96,7,"17103"
1,0,97,7,"17103"
1,0,98,7,"17103"
1,0,99,7,"17103"
1,0,100,7,"17103"
1,0,101,7,"17103"
1,0,102,7,"17103"
1,0,103,7,"17103"
1,0,104,7,"17103"
1,0,105,7,"17103"
1,0,106,7,"17103"
1,0,107,7,"17103"
1,0,108,7,"17103"
1,0,109,7,"17103"
1,0,110,7,"17103"
1,0,111,7,"17103"
1,0,112,7,"17103"
1,0,113,7,"17103"
1,113,114,7,"17103"
1,353,115,7,"17103"
1,425,116,7,"17103"
1,0,117,7,"17103"
1,0,118,7,"17103"
1,0,119,7,"17103"
1,0,120,7,"17103"
1,0,121,7,"17103"
1,0,122,7,"17103"
1,0,123,7,"17103"
1,128,124,7,"17103"
1,108,125,7,"17103"
1,5,126,7,"17103"
1,36,127,7,"17103"
1,264,128,7,"17103"
1,364,129,7,"17103"
1,225,130,7,"17103"
1,241,131,7,"17103"
1,333,132,7,"17103"
1,333,133,7,"17103"
1,404,134,7,"17103"
1,287,135,7,"17103"
1,10,136,7,"17103"
1,0,137,7,"17103"
1,31,138,7,"17103"
1,77,139,7,"17103"
1,164,140,7,"17103"
1,650,141,7,"17103"
1,586,142,7,"17103"
1,586,143,7,"17103"
1,535,144,7,"17103"
1,497,145,7,"17103"
1,384,146,7,"17103"
1,445,147,7,"17103"
1,159,148,7,"17103"
1,87,149,7,"17103"
2,72,1,7,"17103"
2,0,2,7,"17103"
2,5,3,7,"17103"
2,5,4,7,"17103"
2,20,5,7,"17103"
2,15,6,7,"17103"
2,102,7,7,"17103"
2,210,8,7,"17103"
2,225,9,7,"17103"
2,0,10,7,"17103"
2,0,11,7,"17103"
2,123,12,7,"17103"
2,333,13,7,"17103"
2,77,14,7,"17103"
2,61,15,7,"17103"
2,51,16,7,"17103"
2,310,17,7,"17103"
2,509,18,7,"17103"
2,0,19,7,"17103"
2,133,20,7,"17103"
2,97,21,7,"17103"
2,36,22,7,"17103"
2,108,23,7,"17103"
2,384,24,7,"17103"
2,77,25,7,"17103"
2,61,26,7,"17103"
2,801,27,7,"17103"
2,573,28,7,"17103"
2,210,29,7,"17103"
2,51,30,7,"17103"
2,241,31,7,"17103"
2,210,32,7,"17103"
2,302,33,7,"17103"
2,404,34,7,"17103"
2,113,35,7,"17103"
2,466,36,7,"17103"
2,445,37,7,"17103"
2,0,38,7,"17103"
2,0,39,7,"17103"
2,0,40,7,"17103"
2,202,41,7,"17103"
2,0,42,7,"17103"
2,56,43,7,"17103"
2,0,44,7,"17103"
2,0,45,7,"17103"
2,0,46,7,"17103"
2,0,47,7,"17103"
2,0,48,7,"17103"
2,0,49,7,"17103"
2,0,50,7,"17103"
2,302,51,7,"17103"
2,138,52,7,"17103"
2,123,53,7,"17103"
2,72,54,7,"17103"
2,36,55,7,"17103"
2,31,56,7,"17103"
2,279,57,7,"17103"
2,179,58,7,"17103"
2,218,59,7,"17103"
2,415,60,7,"17103"
2,0,61,7,"17103"
2,0,62,7,"17103"
2,92,63,7,"17103"
2,599,64,7,"17103"
2,187,65,7,"17103"
2,195,66,7,"17103"
2,0,67,7,"17103"
2,0,68,7,"17103"
2,394,69,7,"17103"
2,456,70,7,"17103"
2,218,71,7,"17103"
2,179,72,7,"17103"
2,92,73,7,"17103"
2,225,74,7,"17103"
2,61,75,7,"17103"
2,5,76,7,"17103"
2,5,77,7,"17103"
2,10,78,7,"17103"
2,771,79,7,"17103"
2,353,80,7,"17103"
2,279,81,7,"17103"
2,0,82,7,"17103"
2,0,83,7,"17103"
