CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,324,Rhinolophus hipposideros,1995,13382
2017,Bats were present and counts were carried out,83,Rhinolophus hipposideros,NA,13864
2017,Bats were present and counts were carried out,100,Rhinolophus hipposideros,NA,13864
2017,Bats were present and counts were carried out,161,Rhinolophus hipposideros,1993,13989
2017,Bats were present and counts were carried out,112,Rhinolophus hipposideros,NA,14884
2017,Bats were present and counts were carried out,103,Rhinolophus hipposideros,NA,14884
2017,Bats were present and counts were carried out,201,Rhinolophus hipposideros,1995,14889
2017,Bats were present and counts were carried out,160,Rhinolophus hipposideros,1995,14889
2017,Bats were present and counts were carried out,769,Pipistrellus pygmaeus,1996,15468
2017,Bats were present and counts were carried out,710,Pipistrellus pygmaeus,1996,15468
2017,Bats were present and counts were carried out,84,Rhinolophus hipposideros,NA,15478
2017,Bats were present and counts were carried out,50,Rhinolophus hipposideros,NA,15478
2017,Bats were present and counts were carried out,197,Pipistrellus pygmaeus,2017,15838
2017,Bats were present and counts were carried out,204,Pipistrellus pygmaeus,2017,15838
2017,Bats were present and counts were carried out,47,Rhinolophus hipposideros,2014,18607
2017,Bats were present and counts were carried out,44,Rhinolophus hipposideros,2014,18607
2017,Bats were present and counts were carried out,48,Rhinolophus hipposideros,2014,18607
2017,Bats were present and counts were carried out,4,Pipistrellus pygmaeus,2010,18834
2017,Bats were present and counts were carried out,4,Pipistrellus pygmaeus,2010,18834
2017,Bats were present and counts were carried out,249,Pipistrellus pygmaeus,2005,19693
2017,Bats were present and counts were carried out,84,Rhinolophus hipposideros,NA,19739
2017,Bats were present and counts were carried out,92,Rhinolophus hipposideros,NA,19739
2017,Bats were present and counts were carried out,91,Rhinolophus hipposideros,NA,20681
2017,Bats were present and counts were carried out,95,Rhinolophus hipposideros,NA,20681
2017,Bats were present and counts were carried out,205,Pipistrellus pygmaeus,1973,20694
2017,Bats were present and counts were carried out,205,Pipistrellus pygmaeus,1973,20694
2017,Bats were present and counts were carried out,266,Rhinolophus hipposideros,2004,20941
2017,Bats were present and counts were carried out,303,Rhinolophus hipposideros,2004,20941
2017,Bats were present and counts were carried out,310,Rhinolophus hipposideros,2004,20941
2017,Bats were present and counts were carried out,289,Rhinolophus hipposideros,1993,21095
2017,Bats were present and counts were carried out,300,Rhinolophus hipposideros,1993,21095
2017,Bats were present and counts were carried out,358,Rhinolophus hipposideros,1993,21521
2017,Bats were present and counts were carried out,291,Rhinolophus hipposideros,1993,21521
2017,Bats were present and counts were carried out,47,Rhinolophus hipposideros,1999,21655
2017,Bats were present and counts were carried out,66,Rhinolophus hipposideros,1999,21655
2017,Bats were present and counts were carried out,63,Rhinolophus hipposideros,1999,21655
2017,Bats were present and counts were carried out,232,Rhinolophus hipposideros,1977,22198
2017,Bats were present and counts were carried out,241,Rhinolophus hipposideros,1977,22198
2017,Bats were present and counts were carried out,667,Pipistrellus pygmaeus,2012,22281
2017,Bats were present and counts were carried out,647,Pipistrellus pygmaeus,2012,22281
2017,Bats were present and counts were carried out,15,Rhinolophus hipposideros,NA,22529
2017,Bats were present and counts were carried out,5,Rhinolophus hipposideros,NA,22529
2017,Bats were present and counts were carried out,1309,Pipistrellus pygmaeus,NA,22544
2017,Bats were present and counts were carried out,792,Pipistrellus pygmaeus,NA,22544
2017,Bats were present and counts were carried out,1148,Pipistrellus pygmaeus,NA,22544
2017,Bats were present and counts were carried out,1096,Pipistrellus pygmaeus,NA,22544
2017,Bats were present and counts were carried out,49,Rhinolophus hipposideros,NA,22586
2017,Bats were present and counts were carried out,35,Rhinolophus hipposideros,NA,22586
2017,Bats were present and counts were carried out,51,Rhinolophus hipposideros,NA,22586
2017,Bats were present and counts were carried out,32,Rhinolophus hipposideros,2006,22651
2017,Bats were present and counts were carried out,28,Rhinolophus hipposideros,2006,22651
2017,Bats were present and counts were carried out,11,Rhinolophus hipposideros,NA,23147
2017,Bats were present and counts were carried out,2,Rhinolophus hipposideros,NA,23147
2017,Bats were present and counts were carried out,5,Rhinolophus hipposideros,NA,23499
2017,Bats were present and counts were carried out,11,Rhinolophus hipposideros,NA,23499
2017,Bats were present and counts were carried out,42,Rhinolophus hipposideros,1994,23544
2017,Bats were present and counts were carried out,21,Rhinolophus hipposideros,1994,23544
2017,Bats were present and counts were carried out,20,Rhinolophus hipposideros,1994,23544
2017,Bats were present and counts were carried out,461,Pipistrellus pygmaeus,1985,23761
2017,Bats were present and counts were carried out,428,Pipistrellus pygmaeus,1985,23761
2017,Bats were present and counts were carried out,456,Pipistrellus pygmaeus,1985,23761
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,1988,23899
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,1988,23899
2017,Bats were present and counts were carried out,15,Pipistrellus pygmaeus,1988,23899
2017,Bats were present and counts were carried out,59,Rhinolophus hipposideros,NA,25526
2017,Bats were present and counts were carried out,154,Rhinolophus hipposideros,1992,26008
2017,Bats were present and counts were carried out,120,Rhinolophus hipposideros,1992,26008
2017,Bats were present and counts were carried out,109,Rhinolophus hipposideros,1992,26008
2017,Bats were present and counts were carried out,125,Pipistrellus pygmaeus,NA,26796
2017,Bats were present and counts were carried out,126,Pipistrellus pygmaeus,NA,26796
2017,Bats were present and counts were carried out,115,Pipistrellus pygmaeus,NA,26796
2017,Bats were present and counts were carried out,168,Rhinolophus hipposideros,1986,26879
2017,Bats were present and counts were carried out,149,Rhinolophus hipposideros,1986,26879
2017,Bats were present and counts were carried out,141,Pipistrellus pygmaeus,2014,26949
2017,Bats were present and counts were carried out,189,Pipistrellus pygmaeus,2014,26949
2017,Bats were present and counts were carried out,470,Rhinolophus hipposideros,1997,26970
2017,Bats were present and counts were carried out,432,Rhinolophus hipposideros,1997,26970
2017,Bats were present and counts were carried out,102,Pipistrellus pygmaeus,2004,27036
2017,Bats were present and counts were carried out,176,Pipistrellus pygmaeus,2004,27036
2017,Bats were present and counts were carried out,170,Pipistrellus pygmaeus,2004,27036
2017,Bats were present and counts were carried out,119,Pipistrellus pygmaeus,2004,27036
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2015,27158
2017,Bats were present and counts were carried out,5,Pipistrellus pygmaeus,2015,27158
2017,Bats were present and counts were carried out,569,Pipistrellus pygmaeus,NA,27255
2017,Bats were present and counts were carried out,589,Pipistrellus pygmaeus,NA,27255
2017,Bats were present and counts were carried out,383,Pipistrellus pygmaeus,NA,27255
2017,Bats were present and counts were carried out,172,Rhinolophus hipposideros,NA,27727
2017,Bats were present and counts were carried out,227,Rhinolophus hipposideros,NA,27727
2017,Bats were present and counts were carried out,252,Pipistrellus pygmaeus,2013,28453
